legislator_id,nombre,distrito,bloque,mandato_inicio,mandato_fin,foto
HCDN2902,"Pedrali, Gabriela",La Rioja,Unión por la Patria,2025-12-10,2029-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2902.jpg
HCDN1356,"Pedrini, Juan Manuel",Chaco,Frente para la Victoria - Pj,2013-12-10,2017-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1356.jpg
HCDN1356,"Pedrini, Juan Manuel",Chaco,Unión por la Patria,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN1356.jpg
HCDN3160,"Pellegrini, Agustin",Santa Fe,La Libertad Avanza,2025-12-10,2029-12-09,
HCDN3249,"Pelli, Federico Agustin",Tucumán,La Libertad Avanza,2025-12-10,2029-12-09,
HCDN3040,"Peluc, Jose",San Juan,La Libertad Avanza,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN3040.jpg
HCDN2821,"Penacca, Paula Andrea",CABA,Frente de Todos,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2821.jpg
HCDN2821,"Penacca, Paula Andrea",CABA,Unión por la Patria,2023-12-10,2027-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2821.jpg
HCDN1583,"Peñaloza Marianetti, Maria Florencia",San Juan,Somos San Juan,2015-12-10,2019-12-09,
HCDN1012,"Peralta, Fabian Francisco",Santa Fe,Gen,2007-12-10,2011-12-09,
HCDN1012,"Peralta, Fabian Francisco",Santa Fe,Gen,2011-12-10,2015-12-09,
HCDN1013,"Pereyra, Guillermo Antonio",Mendoza,Frente para la Victoria - Pj,2007-12-10,2011-12-09,
HCDN1513,"Pereyra, Juan Manuel",Córdoba,Concertacion Forja,2015-12-10,2019-12-09,
HCDN2915,"Pereyra, Julio",Buenos Aires,Unión por la Patria,2021-12-10,2025-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2915.jpg
HCDN2769,"Perez Araujo, Hernan",La Pampa,Frente de Todos,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2769.jpg
HCDN2871,"Perez Plaza, Eber Albano",Mendoza,Frente de Todos,2019-12-10,2023-12-09,https://api.argentinadatos.com/static/diputados/diputados/HCDN2871.jpg
HCDN0781,"Perez, Adrian",Buenos Aires,Coalicion Civica,2007-12-10,2011-12-09,
HCDN0781,"Perez, Adrian",Buenos Aires,Frente Renovador,2013-12-10,2015-12-09,
HCDN1200,"Perez, Alberto Jose",San Luis,Compromiso Federal,2009-12-10,2013-12-09,
HCDN1014,"Perez, Jorge Raul",Santiago del Estero,Frente Civico por Santiago,2007-12-10,2011-11-11,
HCDN1409,"Perez, Martin Alejandro",Tierra del Fuego,Frente para la Victoria - Pj,2013-12-10,2017-12-09,
HCDN1409,"Perez, Martin Alejandro",Tierra del Fuego,Frente de Todos,2017-12-10,2019-12-11,
