legislator_id,law_id,acta_id,legislador,distrito,bloque,voto,voto_raw,hcdn_asset_id,foto
HCDN2402,ley-bases-sancion-2024,5272,"Macha, Monica",Buenos Aires,Unión por la Patria,NEGATIVO,negativo,A51094,https://api.argentinadatos.com/static/diputados/diputados/HCDN2402.jpg
vote-moreau-leopoldo,ley-bases-sancion-2024,5272,"Moreau, Leopoldo",,,NEGATIVO,negativo,A51098,
HCDN2400,ley-bases-sancion-2024,5272,"Oliveto Lago, Paula",CABA,Coalicion Civica,AFIRMATIVO,afirmativo,A51115,https://api.argentinadatos.com/static/diputados/diputados/HCDN2400.jpg
HCDN1031,ley-bases-sancion-2024,5272,"Iglesias, Fernando Adolfo",CABA,Pro,AFIRMATIVO,afirmativo,A4666,https://api.argentinadatos.com/static/diputados/diputados/HCDN1031.jpg
HCDN2382,ley-bases-sancion-2024,5272,"Ginocchio, Silvana Micaela",Catamarca,Unión por la Patria,NEGATIVO,negativo,A51051,https://api.argentinadatos.com/static/diputados/diputados/HCDN2382.jpg
HCDN1433,ley-bases-sancion-2024,5272,"Laspina, Luciano Andres",Santa Fe,Pro,AFIRMATIVO,afirmativo,A50884,https://api.argentinadatos.com/static/diputados/diputados/HCDN1433.jpg
HCDN1565,ley-bases-sancion-2024,5272,"Maquieyra, Martin",La Pampa,Pro,AFIRMATIVO,afirmativo,A51017,https://api.argentinadatos.com/static/diputados/diputados/HCDN1565.jpg
vote-reyes-roxana,ley-bases-sancion-2024,5272,"Reyes, Roxana",,,AFIRMATIVO,afirmativo,A51077,
HCDN2406,ley-bases-sancion-2024,5272,"Quetglas, Fabio Jose",Buenos Aires,Ucr - Unión Cívica Radical,AFIRMATIVO,afirmativo,A51096,https://api.argentinadatos.com/static/diputados/diputados/HCDN2406.jpg
HCDN2408,ley-bases-sancion-2024,5272,"Rauschenberger, Ariel",La Pampa,Unión por la Patria,NEGATIVO,negativo,A51103,https://api.argentinadatos.com/static/diputados/diputados/HCDN2408.jpg
HCDN2421,ley-bases-sancion-2024,5272,"Siley, Vanesa Raquel",Buenos Aires,Unión por la Patria,NEGATIVO,negativo,A51120,https://api.argentinadatos.com/static/diputados/diputados/HCDN2421.jpg
HCDN2392,ley-bases-sancion-2024,5272,"Medina, Gladys",Tucumán,Independencia,AFIRMATIVO,afirmativo,A51113,https://api.argentinadatos.com/static/diputados/diputados/HCDN2392.jpg
HCDN2412,ley-bases-sancion-2024,5272,"Romero, Jorge Antonio",Corrientes,Unión por la Patria,NEGATIVO,negativo,A51084,https://api.argentinadatos.com/static/diputados/diputados/HCDN2412.jpg
HCDN1383,ley-bases-sancion-2024,5272,"Del Caño, Nicolas",Buenos Aires,Pts-Frente de Izquierda Unidad,NEGATIVO,negativo,A50844,https://api.argentinadatos.com/static/diputados/diputados/HCDN1383.jpg
HCDN2986,ley-bases-sancion-2024,5272,"Zabala Chacur, Natalia",San Luis,Unión por la Patria,NEGATIVO,negativo,REC102,https://api.argentinadatos.com/static/diputados/diputados/HCDN2986.jpg
HCDN0530,ley-bases-sancion-2024,5272,"Lombardi, Hernan",Buenos Aires,Pro,AFIRMATIVO,afirmativo,REC1,https://api.argentinadatos.com/static/diputados/diputados/HCDN0530.jpg
HCDN2925,ley-bases-sancion-2024,5272,"Stolbizer, Margarita",Buenos Aires,Encuentro Federal,AFIRMATIVO,afirmativo,A1460,https://api.argentinadatos.com/static/diputados/diputados/HCDN2925.jpg
HCDN2955,ley-bases-sancion-2024,5272,"Finocchiaro, Alejandro",Buenos Aires,Pro,AFIRMATIVO,afirmativo,REC2,https://api.argentinadatos.com/static/diputados/diputados/HCDN2955.jpg
HCDN2913,ley-bases-sancion-2024,5272,"Borrego, Victoria",Buenos Aires,Coalicion Civica,AFIRMATIVO,afirmativo,REC3,https://api.argentinadatos.com/static/diputados/diputados/HCDN2913.jpg
HCDN2901,ley-bases-sancion-2024,5272,"Espert, Jose Luis",Buenos Aires,La Libertad Avanza,AFIRMATIVO,afirmativo,REC4,https://api.argentinadatos.com/static/diputados/diputados/HCDN2901.jpg
HCDN2940,ley-bases-sancion-2024,5272,"Piparo, Carolina",Buenos Aires,La Libertad Avanza,AFIRMATIVO,afirmativo,REC5,https://api.argentinadatos.com/static/diputados/diputados/HCDN2940.jpg
HCDN2892,ley-bases-sancion-2024,5272,"Santoro, Leandro",CABA,Unión por la Patria,NEGATIVO,negativo,REC8,https://api.argentinadatos.com/static/diputados/diputados/HCDN2892.jpg
