id,nombre,distrito,source,foto
HCDN3174,"Campora, Lucia",CABA,argentinadatos+hcdn,
HCDN2363,"Campos, Javier",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2363.jpg
HCDN0862,"Canela, Susana Mercedes",Salta,argentinadatos,
HCDN1130,"Cano, Jose Manuel",Tucumán,argentinadatos,
HCDN2364,"Cantard, Albor Angel",Santa Fe,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2364.jpg
HCDN3019,"Cantero, Carlos",Jujuy,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN3019.jpg
HCDN0543,"Caparros, Mabel Luisa",Tierra del Fuego,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN0543.jpg
HCDN3080,"Capozzi, Sergio Eduardo",Río Negro,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3080.jpg
HCDN2365,"Carambia, Antonio Jose",Santa Cruz,argentinadatos,
HCDN2984,"Carasso, Marcos Gustavo",Córdoba,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2984.jpg
HCDN2923,"Carbajal, Fernando",Formosa,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2923.jpg
HCDN1072,"Carca, Elisa Beatriz",Buenos Aires,argentinadatos,
HCDN1152,"Cardelli, Jorge Justo",CABA,argentinadatos,
HCDN3090,"Carignano, Florencia",Santa Fe,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3090.jpg
HCDN0864,"Carlotto, Remo Gerardo",Buenos Aires,argentinadatos,
HCDN1247,"Carmona, Guillermo Ramon",Mendoza,argentinadatos,
HCDN2863,"Carnaghi, Guillermo Oscar",Neuquén,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2863.jpg
HCDN1495,"Carol, Analuz Ailen",Tierra del Fuego,argentinadatos,
HCDN3164,"Carrancio, Alejandro",Buenos Aires,argentinadatos+hcdn,
HCDN1153,"Carranza, Carlos Alberto",Santa Fe,argentinadatos,
HCDN1333,"Carrillo, Maria del Carmen",Tucumán,argentinadatos,
HCDN0079,"Carrio, Elisa Maria Avelina",CABA,argentinadatos,
HCDN1361,"Carrizo, Ana Carla",CABA,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1361.jpg
HCDN1420,"Carrizo, Nilda Mabel",Tucumán,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1420.jpg
HCDN1365,"Carrizo, Soledad",Córdoba,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1365.jpg
HCDN2366,"Carro, Pablo",Córdoba,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2366.jpg
HCDN1154,"Casañas, Juan Francisco",Tucumán,argentinadatos,
HCDN2778,"Casaretto, Marcelo Pablo",Entre Ríos,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2778.jpg
HCDN2780,"Casas, Sergio Guillermo",La Rioja,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN2780.jpg
HCDN0982,"Caselles, Graciela Maria",San Juan,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN0982.jpg
HCDN0722,"Caserio, Carlos Alberto",Córdoba,argentinadatos,
HCDN2367,"Cassinerio, Paulo Leonardo",Córdoba,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2367.jpg
HCDN1454,"Castagneto, Carlos Daniel",Buenos Aires,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN1454.jpg
HCDN1117,"Castaldo, Norah Susana",Tucumán,argentinadatos,
HCDN1155,"Castañon, Hugo",Río Negro,argentinadatos,
HCDN3225,"Castelnuovo, Giselle",Buenos Aires,argentinadatos+hcdn,
HCDN2827,"Castets, Laura Carolina",Santa Fe,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2827.jpg
HCDN3066,"Castillo, Christian",Buenos Aires,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN3066.jpg
HCDN1488,"Castro Molina, Enrique Roberto",San Juan,argentinadatos,
HCDN1395,"Castro, Sandra Daniela",San Juan,argentinadatos,
HCDN1248,"Catalan Magni, Julio Cesar",Tierra del Fuego,argentinadatos,
HCDN0403,"Caviglia, Franco Agustin",Buenos Aires,argentinadatos,
HCDN0983,"Cejas, Jorge Alberto",Río Negro,argentinadatos,
HCDN2368,"Cerruti, Gabriela",CABA,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2368.jpg
HCDN2930,"Cervi, Pablo",Neuquén,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2930.jpg
HCDN2911,"Chaher, Leila",Jujuy,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2911.jpg
HCDN2931,"Chahla, Rossana",Tucumán,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2931.jpg
HCDN1156,"Chemes, Jorge Omar",Entre Ríos,argentinadatos,
HCDN3085,"Chica, Jorge",San Juan,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3085.jpg
HCDN3254,"Chiconi, Abel",San Juan,argentinadatos+hcdn,
HCDN1157,"Chieno, Maria Elena Petrona",Corrientes,argentinadatos,
HCDN0986,"Chiquichano, Rosa Laudelina",Chubut,argentinadatos,
HCDN2885,"Chomiak, Maria Luisa",Chaco,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2885.jpg
HCDN2919,"Chumpitaz, Gabriel Felipe",Santa Fe,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2919.jpg
HCDN1249,"Ciampini, Jose Alberto",Neuquén,argentinadatos,
HCDN1158,"Ciciliani, Alicia Mabel",Santa Fe,argentinadatos,
HCDN0594,"Cigogna, Luis Francisco Jorge",Buenos Aires,argentinadatos,
HCDN2803,"Cipolini, Gerardo",Chaco,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN2803.jpg
HCDN2765,"Cisneros, Carlos",Tucumán,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN2765.jpg
HCDN1250,"Cleri, Marcos",Santa Fe,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1250.jpg
HCDN0934,"Closs, Maurice Fabian",Misiones,argentinadatos,
HCDN1066,"Cobos, Julio",Mendoza,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN1066.jpg
HCDN3034,"Coletta, Mariela",CABA,argentinadatos+hcdn,https://api.argentinadatos.com/static/diputados/diputados/HCDN3034.jpg
HCDN2894,"Coli, Marcela",La Pampa,argentinadatos,https://api.argentinadatos.com/static/diputados/diputados/HCDN2894.jpg
HCDN0867,"Collantes, Genaro Aurelio",Catamarca,argentinadatos,
